2025-11-25 22:03:43,622 | DEBUG | root | forward
2025-11-25 22:03:43,764 | DEBUG | root | Destroy Big
2025-11-25 22:03:43,893 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:43,904 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:43,915 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:43,932 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:43,944 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:43,956 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:43,969 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:43,982 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:43,985 | DEBUG | root | load scene Use random traffic
2025-11-25 22:03:44,015 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,048 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,071 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,082 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,092 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,101 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,112 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,141 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,154 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,163 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,175 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,181 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,194 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,203 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,215 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,225 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,236 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,247 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,261 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,275 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,285 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,295 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,304 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,314 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,324 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,335 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,346 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,356 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,368 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,375 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,389 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,399 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,412 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,423 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,432 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,444 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,454 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,465 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,475 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,487 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,498 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:44,508 | DEBUG | root | Load Vehicle Module: NodeNetworkNavigation
2025-11-25 22:03:53,953 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:03:53,954 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:03:53,954 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:03:56,031 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:04:01,933 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:04:03,403 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:04:10,975 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:04:12,280 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:04:12,824 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:04:17,005 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:04:20,637 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:04:24,706 | DEBUG | root | IDMPolicy is released
2025-11-25 22:04:24,737 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:04:25,829 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:04:27,616 | DEBUG | root | EnvInputPolicy is released
2025-11-25 22:04:31,446 | DEBUG | root | EnvInputPolicy is released
